CELLNUM,REGION_ID,TRS,ZONE_IHM
8075,24,12S02E28,1
8074,24,12S02E28,1
8073,24,12S02E28,0
8347,24,12S02E28,1
8346,24,12S02E28,1
8345,24,12S02E33,0
8344,24,12S02E33,0
8619,24,12S02E28,1
8618,24,12S02E33,1
8617,24,12S02E33,0
8616,24,12S02E33,0
8899,24,12S02E27,1
8898,5,12S02E27,1
8897,24,12S02E27,1
8896,24,12S02E27,1
8895,5,12S02E28,1
8894,5,12S02E28,1
8893,24,12S02E28,1
8892,24,12S02E28,1
8891,5,12S02E33,1
8890,5,12S02E33,1
8889,24,12S02E33,1
8888,24,12S02E33,0
9171,24,12S02E27,1
9170,5,12S02E27,1
9169,5,12S02E27,1
9168,5,12S02E27,1
9167,5,12S02E27,1
9166,5,12S02E28,1
9165,5,12S02E33,1
9164,5,12S02E33,1
9163,5,12S02E33,1
9162,5,12S02E33,1
9161,24,12S02E33,1
9160,24,12S02E33,0
9443,24,12S02E27,1
9442,5,12S02E27,1
9441,5,12S02E27,1
9440,5,12S02E27,1
9439,5,12S02E27,1
9438,5,12S02E34,1
9437,5,12S02E33,1
9436,5,12S02E33,1
9435,5,12S02E33,1
9434,5,12S02E33,1
9433,24,12S02E33,1
9432,24,12S02E33,0
9431,24,12S02E33,0
9714,24,12S02E27,1
9713,5,12S02E27,1
9712,5,12S02E27,1
9711,5,12S02E34,1
9710,5,12S02E34,1
9709,5,12S02E34,1
9708,5,12S02E33,1
9707,5,12S02E33,1
9706,5,12S02E33,1
9705,24,12S02E33,1
9704,24,12S02E33,0
9703,24,12S02E33,0
9986,24,12S02E27,1
9985,5,12S02E27,1
9984,5,12S02E34,1
9983,5,12S02E34,1
9982,5,12S02E34,1
9981,5,12S02E34,1
9980,5,12S02E34,1
9979,5,12S02E33,1
9978,5,12S02E33,1
9977,24,12S02E33,1
9976,24,12S02E33,0
9975,24,12S02E33,0
10258,24,12S02E27,1
10257,5,12S02E34,1
10256,5,12S02E34,1
10255,5,12S02E34,1
10254,5,12S02E34,1
10253,5,12S02E34,1
10252,5,12S02E34,1
10251,5,12S02E33,1
10250,5,12S02E33,1
10249,24,12S02E33,1
10248,24,12S02E33,0
10530,24,12S02E34,1
10529,5,12S02E34,1
10528,5,12S02E34,1
10527,5,12S02E34,1
10526,5,12S02E34,1
10525,5,12S02E34,1
10524,5,12S02E34,1
10523,5,12S02E34,1
10522,5,12S02E33,1
10521,24,12S02E33,0
10520,24,12S02E33,0
10802,5,12S02E34,1
10801,5,12S02E34,1
10800,5,12S02E34,1
10799,5,12S02E34,1
10798,5,12S02E34,1
10797,5,12S02E34,1
10796,5,12S02E34,1
10795,5,12S02E34,1
10794,24,12S02E34,1
10793,24,12S02E33,0
11074,5,12S02E34,1
11073,5,12S02E34,1
11072,5,12S02E34,1
11071,5,12S02E34,1
11070,5,12S02E34,1
11069,5,12S02E34,1
11068,5,12S02E34,1
11067,5,12S02E34,1
11346,24,12S02E34,1
11345,5,12S02E34,1
