chem_code,chem_group,chem_name,chem_alias1,chem_alias2,chem_note
-999,none,NO DATA,,,
-1,Pesticides,UNKOWN,,,
0,Pesticides,INERT INGREDIENTS,,,
1,Pesticides,TEMEPHOS,,,
2,Pesticides,DICHLOROISOCYANURIC ACID; POTASSIUM SALT,,,
3,Pesticides,ACROLEIN,,,
5,Pesticides,CYCLOHEXIMIDE,,,
6,unknown,unknown,,,
7,Pesticides,DAMINOZIDE,,,
8,Pesticides,ETHYL ALCOHOL,,,
9,Pesticides,ALDRIN,,,
10,Pesticides,ALKYL (70%C18; 27%C16; 3%C14) TRIMETHYL AMMONIUM CHLORIDE,,,
12,Pesticides,ALLETHRIN,,,
17,Pesticides,3-CPA,,,
18,Pesticides,AMETRYNE,,,
20,Pesticides,AMITROLE,,,
21,Pesticides,AMMONIUM SULFAMATE,,,
22,Pesticides,AMMONIA,,,
25,Pesticides,AMMONIUM THIOCYANATE,,,
27,Pesticides,OCTYLAMMONIUM METHANEARSONATE,,,
32,Pesticides,CACODYLIC ACID,,,
34,Pesticides,MSMA,,,
37,Pesticides,1;3-DICHLORO-5;5-DIMETHYLHYDANTOIN,,,
38,Pesticides,ANTU,,,
39,Pesticides,ARAMITE,,,
40,Pesticides,ARSENIC ACID,,,
42,Pesticides,ARSENIC TRIOXIDE,,,
45,Pesticides,ATRAZINE,,,
47,Pesticides,CHLOROTETRACYCLINE,,,
48,Pesticides,DIALLATE,,,
49,Pesticides,TRIALLATE,,,
50,Pesticides,4-AMINOPYRIDINE,,,
51,Pesticides,TERBUTOL,,,
52,Pesticides,MONOCROTOPHOS,,,
53,Pesticides,BENEFIN,,,
54,Pesticides,BANDANE,,,
55,Pesticides,BARBAN,,,
60,Pesticides,COPPER CARBONATE; BASIC,,,
62,Pesticides,PROPOXUR,,,
63,Pesticides,FENTHION,,,
64,Pesticides,BCP,,,
65,Pesticides,BENZALDEHYDE,,,
66,Pesticides,2-(2-(P-(DIISOBUTYL) PHENOXY) ETHOXY) ETHYL DIMETHYLBENZYL AMMONIUM CHLORIDE,,,
67,Pesticides,BENZENE,,,
68,Pesticides,BENZYL BENZOATE,,,
70,Pesticides,BENSULIDE,,,
72,Pesticides,DICROTOPHOS,,,
73,Pesticides,BINAPACRYL,,,
74,Pesticides,BIS(TRIBUTYLTIN) SUCCINATE,,,
75,Pesticides,NICOTINE,,,
77,Pesticides,BOMYL,,,
78,Pesticides,BONE OIL,,,
79,Pesticides,BORAX,,,
80,Pesticides,BORDEAUX MIXTURE (NOT USED-SEE CC 162),,,
81,Pesticides,DICLORAN,,,
83,Pesticides,BROMACIL,,,
86,Pesticides,BACILLUS THURINGIENSIS (BERLINER),,,
88,Pesticides,TRICHLORFON,,,
89,Pesticides,2-BUTOXYETHANOL,,,
90,Pesticides,BUTOPYRONOXYL,,,
91,Pesticides,BUFENCARB,,,
92,Pesticides,CADMIUM SUCCINATE,,,
93,Pesticides,CADMIUM CARBONATE,,,
94,Pesticides,CADMIUM CHLORIDE,,,
96,Pesticides,CALCIUM ARSENATE,,,
98,Pesticides,CALCIUM CYANAMIDE,,,
99,Pesticides,CALCIUM HYDROXIDE,,,
100,Pesticides,CALOMEL,,,
101,Pesticides,CALCIUM ACID METHANEARSONATE,,,
102,Pesticides,CAMPHOR,,,
104,Pesticides,CAPTAN,,,
105,Pesticides,CARBARYL,,,
106,Pesticides,CARBOFURAN,,,
107,Pesticides,PHENOL,CARBOLIC ACID,,"2003 change, synonymous"
108,Pesticides,CARBON DISULFIDE,,,
109,Pesticides,CARBON TETRACHLORIDE,,,
110,Pesticides,CARBOPHENOTHION,,,
111,Pesticides,FORMETANATE HYDROCHLORIDE,,,
112,Pesticides,DICHLOBENIL,,,
114,Pesticides,ALLIDOCHLOR,,,
115,Pesticides,SULFALLATE,CDEC,,"2004 change, synonymous"
116,Pesticides,CETYLTRIMETHYLAMMONIUM BROMIDE,CEE-DEE,,Shortname
122,Pesticides,CETYLDIMETHYLETHYLAMMONIUM BROMIDE,CETYL DIMETHYL ETHYL AMMONIUM BROMIDE,,Typo
124,Pesticides,CHLORAMINE B,,,
125,Pesticides,CHLORAMINE T,,,
127,Pesticides,CHLORBISAN,,,
130,Pesticides,CHLORDANE,,,
131,Pesticides,CHLORINE,,,
132,Pesticides,CHLOROBENZILATE,,,
133,Pesticides,CHLOROFORM,,,
135,Pesticides,CHLORONEB,,,
136,Pesticides,CHLOROPICRIN,,,
137,Pesticides,CHLOROPROPYLATE,,,
138,Pesticides,1;1;1-TRICHLOROETHANE,,,
139,Pesticides,GLUTARALDEHYDE,,,
140,Pesticides,CROTOXYPHOS,,,
141,Pesticides,CHLORPROPHAM,,,
142,Pesticides,CITRIC ACID,,,
143,Pesticides,OIL OF CITRONELLA,,,
144,Pesticides,COAL TAR NEUTRAL OILS AND COAL TAR ACID COMBINATIONS,,,
147,Pesticides,COPPER ACETATE,,,
151,Pesticides,COPPER HYDROXIDE,,,
153,Pesticides,COPPER NAPHTHENATE,,,
154,Pesticides,COPPER OLEATE,,,
155,Pesticides,COPPER SALTS OF FATTY AND ROSIN ACIDS,,,
156,Pesticides,COPPER OXYCHLORIDE,,,
158,Pesticides,COPPER OXYCHLORIDE SULFATE,,,
159,Pesticides,COPPER 8-QUINOLINOLEATE,,,
161,Pesticides,COPPER SULFATE (PENTAHYDRATE),,,
162,Pesticides,COPPER SULFATE (BASIC),,,
163,Pesticides,COPPER-ZINC CHROMATE COMPLEX,,,
164,Pesticides,COPPER-ZINC SULFATE COMPLEX,,,
165,Pesticides,COUMAPHOS,,,
166,Pesticides,FLUOMETURON,,,
170,Pesticides,BUTOXY POLY PROPYLENE GLYCOL,ALPHA-BUTYL-OMEGA-HYDROXYPOLY(OXYPROPYLENE),,2003 instance
171,Pesticides,CREOSOTE,,,
173,Pesticides,CRYOLITE,,,
175,Pesticides,COPPER OXIDE (OUS),,,
176,Pesticides,CALCIUM CYANIDE,,,
177,Pesticides,CYCLOHEXANONE,,,
178,Pesticides,CYPROMID,,,
179,Pesticides,CHLORTHAL-DIMETHYL,,,
180,Pesticides,DALAPON,,,
181,Pesticides,FENSULFOTHION,,,
182,Pesticides,1;3;4;6-TETRACHLOROGLYCOLURIL,,,
183,Pesticides,DBCP,,,
184,Pesticides,DDD,,,
185,Pesticides,1;2-DICHLOROPROPANE; 1;3-DICHLOROPROPENE AND RELATED C3 COMPOUNDS,,,
186,Pesticides,DDT,,,
187,Pesticides,DDVP,,,
189,Pesticides,DEET,,,
190,Pesticides,S;S;S-TRIBUTYL PHOSPHOROTRITHIOATE,,,
192,Pesticides,DIOXATHION,,,
194,Pesticides,FENAMINOSULF,,,
195,Pesticides,DIATOMACEOUS EARTH,,,
196,Pesticides,DIACETOXY PROPENE,,,
197,Pesticides,DIALKYL (85%C18; 15%C16) DIMETHYL AMMONIUM CHLORIDE,,,
198,Pesticides,DIAZINON,,,
199,Pesticides,DIBUTYLPHTHALATE,,,
200,Pesticides,DICAMBA,,,
201,Pesticides,BIS-(2;2-DICHLOROETHYL) ETHER,,,
202,Pesticides,DICHLONE,,,
203,Pesticides,BIS (CHLOROETHYL) ETHER,,,
204,Pesticides,DICHLORO-S-TRIAZINETRIONE,,,
205,Pesticides,SODIUM DICHLORO-S-TRIAZINETRIONE,,,
206,Pesticides,DICHLOROPHENE,,,
210,Pesticides,DIELDRIN,,,
211,Pesticides,MANCOZEB,,,
216,Pesticides,DIMETHOATE,,,
221,Pesticides,2;4-DINITROPHENOL,,,
223,Pesticides,DIOCTYL PHTHALATE,,,
225,Pesticides,DIPHACINONE,,,
226,Pesticides,DIPHENAMID,,,
227,Pesticides,BIPHENYL,,,
228,Pesticides,DIPHENYLAMINE,,,
229,Pesticides,DIQUAT DIBROMIDE,,,
230,Pesticides,DISULFOTON,,,
231,Pesticides,DIURON,,,
232,Pesticides,DIMETHYL PHTHALATE,,,
233,Pesticides,DAZOMET,,,
235,Pesticides,DINOSEB; TRIETHANOLAMINE SALT,,,
238,Pesticides,DINOSEB,,,
239,Pesticides,DINOSEB; AMINE SALT,,,
240,Pesticides,DINOSEB; AMMONIUM SALT,,,
245,Pesticides,DODINE,,,
248,Pesticides,ORTHO-PHENYLPHENOL; SODIUM SALT,,,
250,Pesticides,1-(3-CHLOROALLYL)-3;5;7-TRIAZA-1-AZONIA ADAMANTANE CHLORIDE,,,
251,Pesticides,DSMA,,,
253,Pesticides,CHLORPYRIFOS,,,
254,Pesticides,FONOFOS,,,
255,Pesticides,BUTONATE,,,
