CropID,CropName,CropName,Category,SVIHM_CODE,LandIQ Group,LandIQ ID,Cropscape Group,Cropscape ID
1000,VEGETABLE,VEGETABLE,Tomato-Peppers,,,,,
2000,FRUITS AND BERRIES,FRUITS AND BERRIES,Cane-Bush Berries,,,,,
2500,SMALL FRUITS,SMALL FRUITS,Deciduous fruits and nuts,,,,,
2501,STRAWBERRY,STRAWBERRY,Strawberries,,,,,
3000,GRASSES,GRASSES,Pasture,,,,,
5000,SPICES,SPICES,Rotational 30-day,,,,,
6000,LIVESTOCK AND POULTRY,LIVESTOCK AND POULTRY,Semiagricultural,,,,,
7000,ORNAMENTAL,ORNAMENTAL,Nursery-Outdoor,,,,,
8000,BUILDING,BUILDING,Urban-CalPIP,,,,,
8001,GRANARY,GRANARY,Semiagricultural,,,,,
8004,POULTRY BUILDING,POULTRY BUILDING,Semiagricultural,,,,,
8005,STORAGE BUILDING,STORAGE BUILDING,Urban-CalPIP,,,,,
